id,mode,input_text,surface_meaning,hidden_meaning,emotion_label,emotion_intensity,translation,advice_style1,advice_text1,advice_style2,advice_text2,advice_style3,advice_text3,advice_style4,advice_text4,confidence,risk_flags,context_keywords
63,여자어,나는 상관없어,결정권을 양도하는 표현,사실은 불만족스럽다는 신호,분노,3,나한테 맞춰주지 않아서 서운해,적극대응형,상관없다는 말 믿지 않아. 네가 원하는 걸 말해줘,공감접근형,상관없다고 하지만 표정이 마음에 안 드는 것 같아. 솔직히 말해줘,위로표현형,네가 상관없다고 말해도 나는 네 마음이 중요해,관심표현형,나는 네가 상관있는 사람이니까 마음껏 얘기해줘,90,감정숨김,관계갈등
64,여자어,뭐가 그렇게 바빠?,상대방의 바쁨을 지적하는 표현,나한테 집중해달라는 요청,서운함,4,나보다 다른 것에 신경쓰지 마,진실파악형,요즘 내가 바빠 보여? 어떤 점이 그렇게 느껴져?,공감접근형,너한테 신경 못 써줘서 미안해. 마음 상했구나,위로표현형,바빠도 너한테는 항상 신경 쓰고 있어,관심표현형,너한테 집중하고 싶은데 자꾸 방해받는 기분이야,93,관심갈구,관계갈등
65,여자어,혼자 있을래,혼자 있고 싶다고 단절하는 표현,혼자 있고 싶지 않지만 혼자 있게 내버려두면 안 됨,외로움,5,나를 혼자 두지 마,적극대응형,혼자 있지 말고 나랑 같이 있자. 내가 옆에 있을게,공감접근형,혼자 있고 싶을 만큼 힘들었구나. 그래도 내가 곁에 있어줄게,위로표현형,혼자 있으면 외롭잖아. 나한테 얘기해줘,관심표현형,혼자 있지 마. 내가 필요하면 언제든 불러,98,단절,외로움
66,여자어,어디가는데?,상대방의 행선지를 묻는 표현,상대방을 통제하려는 의도,질투,3,나한테 보고해줘,진실파악형,어디 가는지 궁금해서 그래. 같이 갈까?,공감접근형,나랑 같이 안 있어서 서운해. 어디 가는지 말해줘,재치반응형,어디 가긴? 네 마음속으로 가지!,위로표현형,어디 가는지 말해주면 마음이 놓일 것 같아,89,집착,통제
67,여자어,나랑 놀아줘,놀아달라고 직접적으로 요구,놀아주지 않는 상황에 대한 불만,외로움,4,나를 즐겁게 해줘,적극대응형,지금 당장 놀아줄게! 뭐 하고 싶어?,공감접근형,혼자서 외로웠구나. 이제 내가 옆에 있어줄게,위로표현형,오늘은 내가 너의 놀이 상대가 되어줄게,관심표현형,다른 것보다 네가 더 중요해,95,외로움,관심요구
68,여자어,뭐하는 중이야?,상대방의 상황을 묻는 표현,나를 생각하고 있는지 확인하려는 의도,불안,3,지금 내 생각하고 있는지 알려줘,진실파악형,지금 네 생각하고 있는데. 뭐해?,공감접근형,내가 궁금했구나. 지금 뭐 하는 중인지 말해줄게,재치반응형,네 생각하는 중이지! 왜? 궁금했어?,위로표현형,네가 궁금해하는 마음을 이해해,90,불안함,연락
69,여자어,나 배고파,배고픔을 표현,나에게 맛있는 것을 사달라는 요구,기대,2,맛있는 거 사줘,직접행동형,맛있는 거 사줄게! 뭐 먹고 싶어?,공감접근형,배고프면 힘 없겠다. 뭐 먹을지 같이 찾아보자,재치반응형,배고프다고? 그럼 밥 사줄게. 나랑 같이 갈래?,위로표현형,배고프면 짜증 나니까 내가 맛있는 거 사줄게,88,관심요구,식사
70,여자어,내일 시간 있어?,상대방의 일정을 묻는 표현,내일 나랑 놀아달라는 요청,기대,3,내일 나랑 데이트해줘,직접행동형,내일 시간 비워둘게. 같이 놀자!,공감접근형,나랑 놀고 싶어서 물어보는구나. 당연히 시간 있지!,위로표현형,내일도 너랑 함께하고 싶어,관심표현형,내일 뭐 할까? 네가 가고 싶은 곳 말해줘,90,데이트요청,일정확인
71,여자어,뭐 하고 싶은 거 없어?,상대방의 의견을 묻는 표현,나에게 맞춰달라는 요구,기대,2,나에게 맞춰서 데이트 계획해줘,적극대응형,나는 네가 하고 싶은 거 할게. 네가 결정해줘,공감접근형,결정하기 힘든가 봐. 내가 좋은 곳 추천해줄게,위로표현형,네가 하고 싶은 게 있다면 무엇이든 좋아,재치반응형,하고 싶은 거? 너랑 같이 있으면 뭐든지 좋아!,87,선택회피,선택상황
72,여자어,나랑 있을 때가 제일 좋지?,상대방의 감정을 확인하는 표현,사랑을 확인받고 싶어 함,호감,4,나를 가장 사랑하는 사람인지 확인시켜줘,진심표현형,너랑 있을 때가 세상에서 제일 행복해,공감접근형,내가 옆에 있을 때 가장 기쁘다고 생각하는구나. 나도 그래,위로표현형,네가 나랑 있을 때 행복해하면 나도 행복해,관심표현형,너만큼 좋은 사람은 세상에 없어,95,관계확인,애정표현
73,여자어,왜 연락이 없어?,연락 부재를 지적하는 표현,걱정과 서운함,불안,5,나한테 더 자주 연락해줘,진실파악형,무슨 일 있었어? 왜 연락이 없었어?,공감접근형,내가 얼마나 걱정했는지 알아? 연락 좀 해줘,위로표현형,연락이 없어서 마음이 아팠어. 미안해,관심표현형,다음부터는 무슨 일이 있으면 바로 연락해줘,96,불안함,연락부재
74,여자어,내가 그렇게 좋아?,상대방의 애정을 확인하는 표현,사랑을 확인받고 싶어 함,호감,5,나를 사랑한다고 말해줘,진심표현형,너를 너무 사랑해서 미치겠어,공감접근형,내가 그렇게 좋다고 말해주니 행복하다. 나도 너가 좋아,위로표현형,네가 나만큼 나를 사랑하는지 궁금했구나. 당연히 사랑하지,관심표현형,너만큼 좋은 사람은 세상에 없어,98,애정확인,관계문제
75,여자어,다른 여자랑은 연락 안 해?,질투를 표현하는 표현,질투심과 불안감,질투,5,다른 여자와 연락하지 마,진실파악형,다른 여자랑은 무슨 이야기 하는지 궁금해서 그래. 말해줘,공감접근형,다른 여자랑 연락하는 걸 보니까 질투가 나,재치반응형,나보다 예쁜 여자랑 연락하면 안 돼!,위로표현형,내가 걱정하는 마음을 이해해줘. 나한테만 집중해줘,97,질투,관계갈등
76,여자어,나 오늘 컨디션 별로야,컨디션 난조를 어필하는 표현,내 기분을 알아달라는 요청,피곤함,3,나를 위로해줘,공감접근형,컨디션이 별로면 푹 쉬어야지. 힘내,위로표현형,컨디션이 안 좋았구나. 내가 옆에 있을게,관심표현형,혹시 아픈 데는 없어? 걱정되네,직접행동형,오늘 데이트는 취소하고 집에서 푹 쉬자,89,감정표출,상황제시
77,여자어,너는 맨날 그것만 해,상대방의 행동을 지적하는 표현,내게 더 신경 써달라는 요청,서운함,4,나한테만 집중해줘,진실파악형,내가 그것만 한다고 느껴? 솔직히 말해줘,공감접근형,맨날 그것만 하는 걸 보니까 서운했구나,위로표현형,내가 좋아하는 것만 해서 미안해. 네가 좋아하는 건 뭐야?,관심표현형,네가 좋아하는 것에 더 관심을 가져줄게,92,관심요구,관계갈등
78,여자어,이건 내가 할게,자신이 하겠다고 선언,상대방이 도와주길 바람,혼란,3,네가 도와줘,직접행동형,내가 도와줄게. 혼자 하려고 하지 마,공감접근형,힘들 텐데. 내가 도와줄게,위로표현형,내가 도와줄 수 있는 일이 없을까?,재치반응형,이건 내가 할게는 도와달라는 신호지! 내가 도와줄게,90,감정숨김,관계갈등
79,여자어,나 지금 좀 그래,기분 변화를 암시하는 표현,내 기분을 눈치채고 위로해달라는 요청,불안,4,내 기분을 알아줘,공감접근형,기분이 안 좋은 것 같은데. 무슨 일이야?,위로표현형,기분이 안 좋았구나. 내가 옆에 있을게,관심표현형,무슨 일이 있었는지 나한테 말해줄 수 있어?,진심표현형,네 기분이 어떤지 나한테 솔직히 말해줘,94,감정표출,감정상태
80,여자어,너는 내가 좋긴 해?,애정도를 확인하는 표현,사랑을 확인받고 싶어 함,불안,5,나를 사랑한다고 말해줘,진심표현형,너를 너무 사랑해. 매일 너 생각만 해,공감접근형,내가 그렇게 좋냐고 물어보는구나. 당연하지,위로표현형,네가 얼마나 사랑받고 있는지 알려주고 싶었어,관심표현형,너는 내가 사랑하는 유일한 사람이야,97,애정확인,관계문제
81,여자어,나 오늘따라 기분이 안 좋아,감정 표출,기분 안 좋은 이유를 묻고 위로해달라는 요청,서운함,4,내 기분을 풀어줘,공감접근형,기분이 안 좋구나. 내가 옆에 있을게,위로표현형,무슨 일 있었어? 나한테 얘기해줄 수 있어?,관심표현형,네가 기분 좋아질 때까지 내가 옆에 있어줄게,직접행동형,기분 안 좋으면 나한테 말해. 내가 풀어줄게,93,감정표출,감정상태
82,여자어,왜 나한테만 그래?,불만을 표출하는 표현,다른 사람에게는 하지 않는 행동을 나에게만 한다는 불만,분노,4,나한테만 다르게 행동하지 마,진실파악형,왜 나한테만 그런다고 느껴? 무슨 일 있어?,공감접근형,내가 너한테만 다르게 행동해서 서운했구나. 미안해,위로표현형,네가 특별해서 그런 거야,관심표현형,네가 나한테만 특별한 사람이니까,91,불만표출,관계갈등
83,여자어,뭐 하는 거야?,상대방의 행동을 지적하는 표현,내게 집중하라는 요청,분노,3,나한테 집중해줘,적극대응형,뭐 하는 거야? 나한테 집중해,공감접근형,내게 집중하지 않아서 서운했구나,위로표현형,나한테 집중해줬으면 좋겠어,재치반응형,뭐 해? 내 생각 안 해?,88,관심요구,관계갈등
84,여자어,나 오늘 약속 있어,일정을 통보하는 표현,나한테 더 신경 써달라는 요청,서운함,3,나한테 더 신경 써줘,진실파악형,무슨 약속인데? 나랑 만날 시간은 없어?,공감접근형,약속이 있는 걸 보니 서운하구나. 미안해,위로표현형,나한테 신경 써줄 시간은 없어?,관심표현형,네가 나한테 더 신경 써주면 좋겠어,90,관심요구,일정확인
85,여자어,오늘은 그냥 쉬고 싶어,휴식을 어필하는 표현,나를 배려해달라는 요청,피곤함,2,나를 배려해줘,공감접근형,많이 피곤하구나. 푹 쉬는 게 좋겠다,위로표현형,오늘 힘들었을 텐데. 내가 옆에서 안아줄게,관심표현형,혹시 힘든 일 있었어? 나한테 얘기해줄 수 있어?,직접행동형,집에 가서 푹 쉬어. 내가 데려다줄게,87,감정표출,상황제시
86,여자어,나한테 말해봤자 뭐해,대화를 회피하는 표현,나에게 더 신경 써달라는 요청,서운함,4,나를 무시하지 마,진실파악형,내가 말해봤자 뭐하냐고? 왜 그렇게 생각해?,공감접근형,내가 네 말을 잘 안 들어줘서 속상했구나,위로표현형,네 말을 귀담아들을게. 솔직히 말해줘,관심표현형,네 말이 나한테는 중요해. 언제든 말해줘,94,대화회피,관계갈등
87,여자어,나 요즘 좀 우울해,우울함을 어필하는 표현,위로와 관심을 갈구함,서운함,4,나를 위로해줘,공감접근형,많이 힘들었구나. 내가 옆에 있어줄게,위로표현형,우울할 땐 나한테 얘기해. 내가 다 들어줄게,관심표현형,너의 우울함이 내 마음을 아프게 해. 힘내,직접행동형,우울할 땐 맛있는 거 먹자. 내가 사줄게,92,감정표출,감정상태
88,여자어,나 요즘 스트레스 많이 받아,스트레스를 어필하는 표현,위로와 관심을 갈구함,피곤함,3,나를 위로해줘,공감접근형,스트레스 많이 받아서 힘들었겠다. 내가 도와줄 수 있는 일이 없을까?,위로표현형,스트레스 받지 마. 내가 다 해결해줄게,관심표현형,스트레스 받지 말고 나한테 얘기해줘,직접행동형,스트레스 풀러 가자. 내가 좋은 곳 알아놨어,90,감정표출,상황제시
89,여자어,우리 사진 찍을까?,사진 찍자고 제안하는 표현,나와의 추억을 남기고 싶어 함,호감,2,우리 관계를 기념하고 싶어,직접행동형,당연하지! 어디서 찍을까?,공감접근형,우리 사진 찍어서 추억을 남기고 싶었구나. 좋은 생각이야,위로표현형,너랑 같이 있는 시간을 기록하고 싶어,관심표현형,네가 사진 찍자고 하니 기쁘다,85,관계확인,추억만들기
90,여자어,됐어,문제없다고 표현,실제로는 화나고 서운함 (역설표현),분노,4,괜찮지 않아 달래줘,직접행동형,됐다는 말은 화난 거 같아 바로 얘기해줘,공감접근형,마음이 속상한 거 같아 내가 곁에 있을게,유머완화형,됐어=됐다고? 사실 '안 됐어'잖아 😅,위로표현형,혼자 감당하지 말고 기대도 돼,92,감정숨김,갈등상황
91,여자어,안 해도 돼,상대 배려하는 듯 표현,사실은 해주길 기대 (관심갈구),서운함,3,해줬으면 좋겠어,직접행동형,말은 안 해도 돼지만 사실 기대하는 거잖아?,공감접근형,네가 해주는 게 나에겐 중요해,재치반응형,안 해도 된다=꼭 해줬으면 한다!,위로표현형,해주면 마음이 풀릴 거야,90,관심요구,배려기대
92,여자어,신경쓰지마,관심 필요 없다는 표현,실제로는 더 신경써달라는 뜻 (관심요구),서운함,4,나한테 신경써줘,직접행동형,신경쓰지 말라지만 오히려 더 써야 할 때야,공감접근형,마음이 상했지? 내가 들어줄게,유머완화형,신경쓰지 마=신경 써달라는 암호지 😏,위로표현형,작은 관심도 큰 힘이 돼,93,감정숨김,관심요구
93,여자어,혼자 할게,자립하겠다는 표현,실제로는 같이 해주길 바람 (동행요청),외로움,3,같이 있어줘,직접행동형,혼자 할게가 아니라 같이 해줬으면 좋겠어,공감접근형,곁에 있어주는 게 제일 큰 힘이야,유머완화형,혼자 한다=같이 해달라는 시그널이지!,위로표현형,네가 있어야 마음이 편해,88,관심요구,동행기대
94,여자어,괜찮다고,문제없다는 표현,사실은 화나고 속상함 (역설표현),분노,5,괜찮지 않아 위로해줘,직접행동형,괜찮다는데 눈빛은 반대야 솔직히 말해줘,공감접근형,속상했구나 내가 들어줄게,유머완화형,괜찮아=전혀 괜찮지 않아!,위로표현형,말로는 괜찮아도 마음은 아니지?,95,감정숨김,갈등상황
95,여자어,네 마음대로 해,상대 선택 존중 표현,실제로는 내 의견 반영 기대 (배려요구),답답함,3,내 마음을 알아줘,직접행동형,네 맘대로 해는 사실 내 맘도 봐달란 뜻이야,공감접근형,내 의견도 듣고 싶어,재치반응형,네 마음대로=내 마음대로 해줬으면~,위로표현형,같이 정하면 더 좋아,87,배려기대,의사결정
96,여자어,별로 안 중요해,중요치 않다는 표현,사실은 꽤 중요해서 확인 기대,불안,3,이거 중요해 네가 신경써줘,직접행동형,안 중요하다지만 사실 신경 쓰이는 거잖아?,공감접근형,네가 챙겨주면 안심돼,재치반응형,별로 안 중요=꽤 중요한 문제!,위로표현형,내 마음 속으론 크다,88,감정숨김,관심요구
97,여자어,나는 상관없어,무관심 표현,사실은 선택 존중받고 싶음 (관심),서운함,3,내 의견도 물어봐줘,직접행동형,상관없다는 건 사실 물어봐달란 신호야,공감접근형,내 선택도 궁금하지?,유머완화형,상관없다=네가 물어봐줘!,위로표현형,존중받고 싶어,86,배려기대,선택상황
98,여자어,됐다고 했지,문제없다고 강조,실제로는 화가 극대화 (참음),분노,5,정말 화났어 풀어줘,직접행동형,됐다고 반복하는 건 폭발 직전이야,공감접근형,무시당한 기분 들어서 그래,재치반응형,됐다고=나 지금 분노 게이지 만땅!,위로표현형,화를 풀 수 있게 곁에 있어줘,95,감정폭발,강한갈등
99,여자어,필요없어,거절 표현,실제로는 필요하지만 자존심 (역설),서운함,4,도와줘,직접행동형,필요없다 말했지만 사실 원했잖아,공감접근형,도움이 필요할 때야,유머완화형,필요없다=도와줘 신호!,위로표현형,힘들면 같이 하자,90,감정숨김,관심요구
100,여자어,아무렇지 않아,괜찮다는 표현,사실은 속상한 상태 (감정위장),분노,4,속상해 알아줘,직접행동형,아무렇지 않아는 사실 마음 아픈 거야,공감접근형,내 속마음을 헤아려줘,유머완화형,아무렇지 않다=엄청 그렇다!,위로표현형,위로가 필요해,91,감정숨김,갈등상황
101,여자어,별거 아냐,가벼운 일 표현,사실은 마음 크게 상함,아쉬움,3,작은 게 아니야 신경써줘,직접행동형,별거 아니라고 하지만 내겐 커,공감접근형,너한테 털어놓고 싶어,유머완화형,별거 아냐=큰일이야!,위로표현형,내 기분 알아줘,87,관심요구,감정상태
102,여자어,몰라,관심없다는 표현,사실은 답답해서 알려달라는 의미,답답함,4,알려줘 답해줘,직접행동형,몰라=답을 듣고 싶다는 뜻,공감접근형,너가 방향을 잡아주면 돼,유머완화형,몰라=알려줘!,위로표현형,같이 고민해주면 좋겠어,89,관심요구,의사결정
103,여자어,알아서 해,상대에게 맡기는 표현,사실은 내 마음 반영 원함,분노,4,내 입장도 고려해줘,직접행동형,알아서 해는 사실 같이 해달란 뜻,공감접근형,내 의사도 궁금하지?,유머완화형,알아서 해=알아서 망하지 말고 물어봐!,위로표현형,함께 하고 싶어,92,관심요구,갈등상황
104,여자어,상관없어,무관심 표현,사실은 배려 기대,서운함,3,내 선택도 존중해줘,직접행동형,상관없다는 건 무시당하고 싶지 않단 뜻,공감접근형,나도 의견 있어 물어봐줘,유머완화형,상관없어=상관 많아!,위로표현형,존중받고 싶어,86,배려기대,선택상황
105,여자어,그냥 그래,무덤덤한 표현,실제로는 실망,아쉬움,3,기대보다 아쉬워 알아줘,직접행동형,그냥 그래는 만족 못 했다는 말이야,공감접근형,내가 기대했던 거랑 달라,유머완화형,그냥 그래=그냥 별로야!,위로표현형,내 마음 달래줘,85,감정숨김,감정표현
106,여자어,할 말 없어,대화 의사 없음,실제로는 서운함 숨김,서운함,3,마음 열고 싶어,직접행동형,할 말 없다는 건 속마음 많다는 뜻,공감접근형,네가 물어봐주면 말할게,유머완화형,할 말 없어=할 말 많아!,위로표현형,내 얘기 들어줘,87,감정숨김,대화거부
107,여자어,오늘 그냥 피곤해,피곤하단 표현,사실은 위로와 관심 필요,피곤함,3,위로해줘,직접행동형,피곤하다=위로받고 싶단 뜻,공감접근형,오늘 하루 힘들었구나 같이 있어줄게,유머완화형,피곤해=안아줘 신호,위로표현형,따뜻한 말이 필요해,88,관심요구,피곤상황
108,여자어,별일 아니야,문제없음 표현,사실은 큰일,불안,3,나 걱정해줘,직접행동형,별일 아니야는 별일이란 뜻이야,공감접근형,네가 신경써주면 든든해,유머완화형,별일 아냐=큰일!,위로표현형,내 마음 무겁다,87,감정숨김,갈등상황
109,여자어,괜찮다니까,강조된 괜찮음,사실은 강한 화,분노,5,화났어 풀어줘,직접행동형,괜찮다니까는 폭발 전 단계야,공감접근형,속마음은 전혀 괜찮지 않아,유머완화형,괜찮다니까=괜찮지 않다니까!,위로표현형,진심으로 달래줘,95,감정폭발,강한갈등
110,여자어,혼자 있고 싶어,혼자 원함 표현,사실은 함께 있길 바람,외로움,3,옆에 있어줘,직접행동형,혼자 있고 싶다=와줬으면 한단 뜻,공감접근형,네가 있어야 편안해,유머완화형,혼자 있고 싶어=와줘!,위로표현형,내 곁 지켜줘,89,관심요구,외로움
111,여자어,바쁘니까 괜찮아,상대 배려 표현,실제로는 서운함,서운함,3,시간 내줘,직접행동형,괜찮다고 하지만 사실 서운한 거야,공감접근형,조금만 시간 내줘도 좋아,유머완화형,괜찮아=괜찮지 않아!,위로표현형,내가 기다릴게,90,배려기대,시간배려
112,여자어,나 없어도 돼,자신 무가치 표현,사실은 더 필요함,외로움,4,나 중요해 해줘,직접행동형,나 없어도 돼=나 필요하다 말해줘,공감접근형,내 존재를 확인받고 싶어,유머완화형,나 없어도 돼=없으면 안 돼!,위로표현형,곁에 있고 싶어,92,관심요구,자존감
113,여자어,그냥 해,간단한 허락,사실은 확인 원함,혼란,3,내 마음 물어봐줘,직접행동형,그냥 해=내 의사 물어봐달란 뜻,공감접근형,내가 어떻게 생각하는지 궁금하지?,유머완화형,그냥 해=그냥 하지 마 물어봐!,위로표현형,내 마음 존중해줘,86,배려기대,선택상황
114,여자어,기분 안 좋아,기분 나쁨 표현,실제로는 달래주길 바람,분노,3,위로해줘,직접행동형,기분 안 좋다=달래달란 뜻,공감접근형,네가 곁에 있어야 풀려,유머완화형,기분 안 좋아=안아줘,위로표현형,마음 써줘,88,관심요구,감정상태
115,여자어,됐다고 했잖아,강조된 단절,실제로는 극한 화,분노,5,정말 화났어 풀어줘,직접행동형,됐다고 했잖아=화 폭발 직전,공감접근형,무시당한 기분이야,유머완화형,됐다고=폭발 3초 전!,위로표현형,내 화 받아줘,95,감정폭발,강한갈등
116,여자어,아니야,부정 표현,사실은 동의 원함,혼란,3,내 마음 읽어줘,직접행동형,아니야=맞아 달란 뜻,공감접근형,내 진심은 달라,유머완화형,아니야=맞아!,위로표현형,솔직해도 돼,85,감정숨김,대화거부
117,여자어,그냥 됐어,끝낸다는 표현,사실은 관심 유도,분노,4,달래줘,직접행동형,그냥 됐어=끝이 아니라 시작이야,공감접근형,마음 풀어주길 원해,유머완화형,됐어=됐다고? 안 됐어!,위로표현형,내 마음 어루만져줘,91,감정숨김,갈등상황
118,여자어,아무 문제 없어,문제없음 표현,사실은 문제 있음,불안,4,문제 알아줘,직접행동형,문제없다=문제있다,공감접근형,내 속마음 확인해줘,유머완화형,문제없어=문제 많아!,위로표현형,마음 불편해,90,감정숨김,갈등상황
119,여자어,그냥 신경쓰지마,무관심 표현,사실은 관심 갈구,외로움,3,신경써줘,직접행동형,신경쓰지마=더 써줘,공감접근형,작은 관심도 좋아,유머완화형,신경쓰지마=신경 많이 써줘!,위로표현형,내 얘기 들어줘,88,관심요구,갈등상황
120,여자어,정말 괜찮아,강조된 괜찮음,사실은 매우 속상,분노,5,괜찮지 않아,직접행동형,정말 괜찮아=정말 아니다,공감접근형,내 속마음 들어줘,유머완화형,정말 괜찮아=진짜 아니야!,위로표현형,위로가 필요해,95,감정폭발,강한갈등
121,여자어,별로야,마음에 안 든다는 표현,실제로는 불만,아쉬움,3,다른 걸 원해,직접행동형,별로야=마음에 안 들어,공감접근형,내 취향을 존중해줘,유머완화형,별로=별로 아닌데 별로!,위로표현형,더 나은 게 좋아,85,감정표현,선택상황
122,여자어,상관없다니까,무관심 강조,실제로는 서운함,서운함,3,존중해줘,직접행동형,상관없다=내 맘 물어봐달란 뜻,공감접근형,나도 신경써줘,유머완화형,상관없다=상관 많아!,위로표현형,내 의견 중요해,87,배려기대,선택상황
123,여자어,나 머리 묶은 게 나아? 푼 게 나아?,머리 스타일 선호를 묻는 질문,칭찬/확인 욕구 (선택요구),호감,3,내가 예뻐 보이는지 확인받고 싶어,관심표현형,둘 다 예쁜데 오늘은 묶은 게 상큼해 보여 😊 특별한 날이야?,위로·공감형,너는 어떤 스타일이든 잘 어울려. 네가 편한 걸로 하는 게 최고야,재치있는 응답형,위험한 질문이네 😂 둘 다 예쁘지만 오늘 기분은 어때? 기분에 맞춰 정하자!,구체적행동형,묶으면 목선이 예쁘게 보이고 풀면 부드러워 보여. 오늘 입은 옷이랑 맞춰볼까?,87,없음,외모확인
124,여자어,이 옷 어때?,옷에 대한 의견 요청,외모 칭찬과 관심 갈구 (확인요구),기대,4,예쁘다고 말해줘,관심표현형,완전 예뻐! 색깔이 너한테 잘 어울려 ✨ 어디서 샀어?,재치있는 응답형,어디 가는데? 옷발 받네 😍 오늘은 특별한 날이야?,위로·공감형,너 센스 좋은 거 알잖아~ 이 옷 정말 너한테 딱이야!,구체적행동형,이 색깔이 너 피부톤이랑 완전 어울려. 다음에 같이 쇼핑할까?,89,없음,옷차림
125,여자어,살 좀 쪘나?,체중 증가에 대한 질문,위로와 부정적 답변 기대 (안전확인),불안,4,아니라고 말해줘,위로·공감형,전혀! 건강해 보여서 좋은데?,재치있는 응답형,어디가? 나는 못 보겠는데 👀,관심표현형,너 원래 몸매 좋잖아 뭔 소리야,,,92,없음,체중걱정
126,여자어,그냥 들어줘. 답 안 해도 돼,답을 요구하지 않음,조언보다 공감 원함 (공감요구),답답함,4,해결책 말고 내 감정을 먼저 들어줘,위로·공감형,그랬구나 오늘은 네 얘기만 들을게,관심표현형,지금 뭐가 제일 마음에 남았어? 천천히 말해줘,재치있는 응답형,오케이 상담모드 ON. 말할 때까지 조용히 듣기 🤫,,,88,조언금지,감정토로
127,여자어,오늘 진짜 힘들었어,하루가 힘들었다는 표현,위로와 공감 필요 (감정지지),피곤함,4,나를 다독여줘,위로·공감형,많이 힘들었구나 고생했어 😞,관심표현형,뭐가 제일 힘들었어? 말하고 싶으면 말해,재치있는 응답형,내가 맛있는 거라도 사줄까? 🍕,,,85,없음,힘든하루
128,여자어,괜찮아 별로 안 슬퍼,괜찮다고 말함,실제로는 슬픔 (역설표현),슬픔,4,많이 슬픈데 티 안 내려고 해,위로·공감형,힘들면 괜찮지 않아도 돼. 내가 있잖아,관심표현형,진짜 괜찮아? 무리하지 말고 말해줘,재치있는 응답형,별로 안 슬프다니까 왜 목소리가... 🥺,,,91,감정숨김,슬픔숨김
129,여자어,요즘 나한테 관심 없는 것 같아,관심 부족에 대한 지적,애정 확인과 관심 요구 (관심갈구),서운함,4,나에게 더 관심 가져줘,관심표현형,미안해 바빠서 그랬어. 너한테 관심 많아,위로·공감형,그렇게 느꼈구나. 앞으로 더 신경 쓸게,재치있는 응답형,관심 없긴! 너 생각 안 하는 날이 어딨어 😤,,,88,없음,관심요구
130,여자어,나 없어도 잘 지낼 것 같아,독립성에 대한 언급,필요성 확인 요구 (존재확인),불안,5,내가 너에게 필요하다고 말해줘,위로·공감형,말도 안 돼 너 없으면 진짜 안 되는데,관심표현형,왜 이런 생각해? 너 때문에 내가 웃잖아,재치있는 응답형,잘 지내긴 무슨! 너 없으면 밥도 맛없어 😭,,,90,자존감저하,존재가치
131,여자어,오늘 뭐 먹지?,음식 선택에 대한 질문,선택 위임과 배려 기대 (선택위임),기대,3,네가 맛있는 걸 골라줘,관심표현형,네가 먹고 싶은 거 있어? 내가 맞춰줄게,재치있는 응답형,오늘은 내가 특별한 곳 알아봤어 😋,위로·공감형,고민 말고 둘 다 좋아하는 걸로 가자,,,82,없음,음식선택
132,여자어,아무거나 괜찮아,선택에 무관심함을 표현,배려받고 싶음 (선택기대),기대,3,내 취향 고려해서 골라줘,관심표현형,그래도 네가 좋아하는 걸로 하자,재치있는 응답형,아무거나는 없어! 내가 고르는 거 믿어? 😏,위로·공감형,알겠어 맛있는 걸로 정할게,,,84,없음,선택위임
133,여자어,재밌게 놀아~,즐겁게 놀라고 말함,연락·확인 기대 (역설표현),서운함,3,놀아도 좋지만 중간에 안부는 원해,관심표현형,놀다 생각날 때 짧게 안부 하나만 줘 😉,재치있는 응답형,12시 전에 '살아있음' 인증샷 받기? 📸,위로·공감형,알겠어! 끝나고 바로 연락할게,,,84,없음,외출허용
134,여자어,연락 안 해도 돼,연락하지 말라고 함,실제로는 연락 원함 (역설표현),서운함,4,연락해줬으면 좋겠어,관심표현형,그래도 안부는 궁금하잖아 😊,재치있는 응답형,안 해도 된다더니 왜 폰 보고 있어? 📱,위로·공감형,미안해 내가 연락 못했네. 앞으로 할게,,,87,없음,연락거부
135,여자어,바쁘지?,바쁜지 확인하는 질문,시간 내달라는 요청 (시간요청),아쉬움,3,시간 좀 내줘,관심표현형,조금 바쁘긴 한데 너랑은 시간 낼 수 있어,재치있는 응답형,너한테는 안 바빠! 뭐 하고 싶어? 😄,위로·공감형,바빠도 너 시간은 따로 있어,,,85,없음,시간확인
136,여자어,여자 친구들이랑 재밌었겠다,친구들과의 시간을 언급,질투와 서운함 표현 (질투암시),질투,4,다른 여자들보다 나를 더 생각해줘,위로·공감형,재밌긴 했지만 너 생각 많이 났어,관심표현형,너랑 있을 때가 제일 재밌는데 뭔 소리야,재치있는 응답형,질투하는 거야? 귀엽네 😏,,,89,질투표현,친구만남
137,여자어,그 사람 예쁘더라,타인의 외모에 대한 평가,자신과 비교 및 확신 요구 (비교확인),불안,4,나랑 비교해서 누가 더 예뻐?,위로·공감형,예쁘긴 하지만 너만큼은 아니야,관심표현형,내 눈에는 네가 제일 예뻐 보이는데?,재치있는 응답형,어디서 봤는데? 나는 못 봤네 👀,,,86,없음,외모비교
138,여자어,이거 살까 말까?,구매 결정에 대한 조언 요청,결정 지지와 격려 원함 (결정지지),고민,3,사라고 말해줘,관심표현형,마음에 든다면 사는 게 어때?,재치있는 응답형,고민할 정도면 이미 마음 정한 거 아니야? 😏,위로·공감형,후회 안 할 것 같으면 질러!,,,81,없음,구매결정
